Link;Preco;Endereco;Tipo;Area
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-campestre-78m2-RS260000/id-27088691/;R$ 260.000;Rua Antonia Myrian Eduardo Pereira, Campestre, Teresina/PI;apartamento;78m² / 78m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-centro-93m2-RS289000/id-27215663/;R$ 289.000;Rua Gabriel Ferreira, Centro, Teresina/PI;apartamento;93m² / 93m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-fatima-110m2-RS950000/id-28996770/;R$ 950.000;Avenida Rio Poti, Fátima, Teresina/PI;apartamento;110m² / 110m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-fatima-55m2-RS480000/id-27322498/;R$ 480.000;Rua Das Orquídeas, 485, Fátima, Teresina/PI;apartamento;55m² / 55m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-horto-106m2-RS1000000/id-27177634/;R$ 1.000.000;Rua Professor Madeira, Horto, Teresina/PI;apartamento;106m² / 106m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-horto-41m2-RS450000/id-28553168/;R$ 450.000;Rua Angelo Filho, Horto, Teresina/PI;apartamento;41m² / 41m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-ilhotas-46m2-RS290000/id-27015568/;R$ 290.000;Rua São Pedro, 3330, Ilhotas, Teresina/PI;apartamento;46m² / 46m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-joquei-47m2-RS320000/id-21524091/;R$ 320.000;Avenida Ininga, Jóquei, Teresina/PI;apartamento;47m² / 47m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-joquei-60m2-RS600000/id-29154640/;R$ 600.000;Rua Professor Clemente Fortes, Jóquei, Teresina/PI;apartamento;60m² / 60m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-joquei-60m2-RS600000/id-29154641/;R$ 600.000;Rua Professor Clemente Fortes, Jóquei, Teresina/PI;apartamento;60m² / 60m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-joquei-60m2-RS600000/id-29154642/;R$ 600.000;Rua Professor Clemente Fortes, Jóquei, Teresina/PI;apartamento;60m² / 60m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-joquei-60m2-RS703747/id-3464424/;R$ 703.747;Rua Professor Clemente Fortes, Jóquei, Teresina/PI;apartamento;60m² / 60m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-joquei-62m2-RS450000/id-19141708/;R$ 450.000;Rua Das Orquídeas, Jóquei, Teresina/PI;apartamento;62m² / 62m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-sao-cristovao-59m2-RS703747/id-28960590/;R$ 703.747;Rua Professor Clemente Fortes, 2035, São Cristóvão, Teresina/PI;apartamento;59m² / 59m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-sao-cristovao-59m2-RS704943/id-25447049/;R$ 704.943;Rua Professor Clemente Fortes, 2035, São Cristóvão, Teresina/PI;apartamento;59m² / 59m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-tancredo-neves-40m2-RS120000/id-24214468/;R$ 120.000;Rua Paulo Carneiro Da Cunha, Tancredo Neves, Teresina/PI;apartamento;40m² / 40m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-pi-teresina-uruguai-31m2-RS166260/id-25733086/;R$ 166.260;Rua Vitorino Orthiges Fernandes, 848, Uruguai, Teresina/PI;apartamento;31m² / 31m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-pi-teresina-joquei-34m2-RS439531/id-11697269/;R$ 439.531;Rua Desembargador Manoel Castelo Branco, Jóquei, Teresina/PI;apartamento;34m² / 34m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-pi-teresina-sao-cristovao-23m2-RS429771/id-3585437/;R$ 429.771;Rua Costa Alvarenga, São Cristóvão, Teresina/PI;apartamento;23m² / 23m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-aeroporto-48m2-RS160000/id-29288962/;R$ 160.000;Avenida Rio De Janeiro, Aeroporto, Teresina/PI;apartamento;48m² / 48m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-aeroporto-RS258000/id-27681682/;R$ 258.000;Rua Território Fernando De Noronha, 453, Aeroporto, Teresina/PI;apartamento;58m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-angelim-50m2-RS208300/id-11698413/;R$ 208.300;Avenida Henry Wall De Carvalho, Angelim, Teresina/PI;apartamento;50m² / 50m²
